Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
,,बृहदारण्यकोपनिषदि तृतीयचतुर्थाध्यायौ सशांकरभाष्यौ [SK-104] [CORE],Basic Course in Sanskrit and Philosophy,1,25,0
,,कठोपनिषत् शांकरभाष्यसमेता [SK-101] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A39,Faculty,Spiritual Heritage of India I [MSY CT 1O1] [CORE],MA / MSc in Yoga,1,0,0
,,Spiritual Heritage of India II [MSY CT 201] [CORE],MA / MSc in Yoga,2,9,9
A40,Faculty,साहित्यदर्पण आदितः तृतीये रसप्रकरणान्तम् (35)- वृत्तरत्नाकरे चितानि 20 छन्दांसि (15) [SK-441] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,ऋग्वेदीयम् अग्निसूक्तम्(1.1.1)- इन्द्रसूक्तम् (1.32)- पुरुषसूक्तं(10.7.90)- देवीसूक्तम् (10.10.125)- नासदीयसूक्तं(10.11.129) च सायणभाष्योपेतम्- (35 SCH)- निरुक्ते प्रथमद्वितीयाध्यायौ ( 20 SCH) [SK-301] [CORE],Integrated 5 Year MA in Sanskrit(M),8,16,0
,,ध्वन्यालोके प्रथमोद्योतः सलोचनः [SK-451] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,ध्वन्यालोके प्रथमोद्योतः सलोचनः [SK-451] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
A41,Guest Faculty,Algorithms for Data Science [CS218b] [ELECT],MSc in Computer Science,3,0,0
A42,Guest Faculty,भाषातत्त्वम् (भाषोत्पत्तिसिद्धान्ताः- भाषाणां वर्गीकरणं- ध्वनिनियमाः- अर्थपरिवर्तननियमाः) + SWAYAM [SK-315] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,भाषातत्त्वम् (भाषोत्पत्तिसिद्धान्ताः- भाषाणां वर्गीकरणं- ध्वनिनियमाः- अर्थपरिवर्तननियमाः) + SWAYAM [SK-315] [CORE],Integrated 5 Year MA in Sanskrit(M),8,8,8
A43,Guest Faculty,Computer Vision [CS342] [ELECT],MSc in Big Data Analytics,2,11,11
,,Computer Vision [CS342] [CORE],MSc in Computer Science,2,11,11
,,Computer Vision [CS342] [ELECT],MSc in Computer Science,4,11,11
A44,Guest Faculty,Applied Yoga [MSY CT 204] [CORE],MA / MSc in Yoga,2,9,9
,,Yogic Lifestyle [MSY CT 104] [CORE],MA / MSc in Yoga,1,0,0
A45,Guest Faculty,Environmental Studies (Compulsory) [ES-631] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,Environmental Studies (Compulsory) [ES-632] [CORE],Integrated 5 Year MA in Sanskrit(M),6,9,9
A46,Guest Faculty,Introduction to Econometrics and Finance [DA242] [ELECT],MSc in Big Data Analytics,3,0,0
A47,Guest Faculty,Probability and Stochastic processes [DA104] [CORE],MSc in Big Data Analytics,1,0,0
,,Probability and Stochastic processes [DA104] [ELECT],MSc in Mathematics,3,0,0
A48,Guest Faculty,Advanced Statistical Methods [DA210] [CORE],MSc in Big Data Analytics,2,15,13
A49,Guest Faculty,ब्रह्मसूत्रे प्रथमाध्याये तृतीयचतुर्थपादौ शाङ्करभाष्योपेतौ [SK-132] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
A50,Guest Faculty,Introduction to Econometrics and Finance [DA242] [ELECT],MSc in Big Data Analytics,3,0,0
A51,Guest Faculty,Introduction to Human Anatomy (Th) [SSMSCT 102 ] [CORE],MSc in Sports Science,1,0,0
A52,Guest Faculty,Human Anatomy & Physiology [MSY CT&P 103] [CORE],MA / MSc in Yoga,1,0,0
,,Physiology of Yogic Practices [MSY CT&P 205] [CORE],MA / MSc in Yoga,2,3,3
A53,Guest Faculty,Programming for Data Science [DA108] [CORE],MSc in Big Data Analytics,1,0,0
A54,Guest Faculty,Quantum Computing [CS239] [ELECT],MSc in Computer Science,3,0,0
A55,Para-academics,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-621] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-622] [CORE],Integrated 5 Year MA in Sanskrit(M),2,20,15
,,Design and Fabrication Laboratory [PHY519] [CORE],MSc in Physics,3,0,0
A56,Para-academics,Computer Applications (General) (Th-32- Pr-32 Hrs) [CA-623] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,Computer Applications (General) (Th-32- Pr-32 Hrs) [CA-624] [CORE],Integrated 5 Year MA in Sanskrit(M),4,14,14
,,Enabling Technologies for Big Data Computing [DA230] [CORE],MSc in Big Data Analytics,2,13,13
,,Android and IoT [CS236] [ELECT],MSc in Computer Science,1,0,0
A57,Para-academics,तर्कसंग्रहो दीपिकासहितः [SK-342] [CORE],Integrated 5 Year MA in Sanskrit(M),4,20,20
,,वेदान्तपरिभाषा (आदितः आगमान्ता) [SK-163] [CORE],Integrated 5 Year MA in Sanskrit(M),6,17,17
,,वेदान्तपरिभाषा अनुपलब्धितः आन्तम् [SK-164] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,केनोपनिषद् ऐतरेयोपनिषच्च शांकरभाष्योपेते [SK-107] [CORE],Integrated 5 Year MA in Sanskrit(M),8,27,27
,,प्रश्नोपनिषद् शांकरभाष्योपेता [SK-108] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,अद्वैतसिद्धिः आदितो दृश्यत्वहेतुविचारान्ता [SK-171] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,ब्रह्मसूत्रे तृतीयाध्याये द्वितीयतृतीयपादौ शाङ्करभाष्योपेतौ [SK-135] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,अद्वैतसिद्धौ निर्दिष्टांशाः - जडत्वहेतुविचारः। परिच्छिन्नत्वहेतुविचारः। सन् घट इति प्रत्यक्षे अधिष्ठानानुवेधः। प्रत्यक्षस्य न्यायैः प्राबल्यविचारः। प्रत्यक्षस्योपजीव्यत्वेन प्राबल्यविचारः। प्रत्यक्षस्य लिङ्गबाध्यत्वविचारः। प्रत्यक्षस्य शब्दबाध्यत्वविचारः। [SK-173] [CORE],Integrated 5 Year MA in Sanskrit(M),10,27,27
,,Laghuvāsudevamananam [SK-166] [CORE],Basic Course in Sanskrit and Philosophy,1,12,12
A58,Para-academics,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,Bengali-1 [BN-767] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
,,Bengali-2 [BN-768] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A59,Para-academics,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,लघुसिद्धान्तकौमुद्याम् अजन्तस्त्रीलिङ्गादारभ्य अव्ययप्रकरणं यावत् स्त्रीप्रत्ययश्च  (सूस.186) [SK-237] [CORE],Integrated 5 Year MA in Sanskrit(M),2,10,10
